Geography,Geographic Area Name,total,noncitizen,citizen
5001800US2001,"Congressional District 1 (118th Congress), Kansas",726249,30829,695420
5001800US2002,"Congressional District 2 (118th Congress), Kansas",725930,27667,698263
5001800US2003,"Congressional District 3 (118th Congress), Kansas",749221,30423,718798
5001800US2004,"Congressional District 4 (118th Congress), Kansas",739147,26729,712418
5001800US2101,"Congressional District 1 (118th Congress), Kentucky",750693,8667,742026
5001800US2102,"Congressional District 2 (118th Congress), Kentucky",775707,15934,759773
5001800US2103,"Congressional District 3 (118th Congress), Kentucky",733409,42524,690885
5001800US2104,"Congressional District 4 (118th Congress), Kentucky",768776,14351,754425
5001800US2105,"Congressional District 5 (118th Congress), Kentucky",738681,3392,735289
5001800US2106,"Congressional District 6 (118th Congress), Kentucky",758888,28168,730720
5001800US2201,"Congressional District 1 (118th Congress), Louisiana",770713,35203,735510
5001800US2202,"Congressional District 2 (118th Congress), Louisiana",742904,28024,714880
5001800US2203,"Congressional District 3 (118th Congress), Louisiana",762638,12872,749766
5001800US2204,"Congressional District 4 (118th Congress), Louisiana",757390,9471,747919
5001800US2205,"Congressional District 5 (118th Congress), Louisiana",754781,12514,742267
5001800US2206,"Congressional District 6 (118th Congress), Louisiana",785323,33346,751977
5001800US2301,"Congressional District 1 (118th Congress), Maine",700340,15025,685315
5001800US2302,"Congressional District 2 (118th Congress), Maine",695382,10734,684648
5001800US2401,"Congressional District 1 (118th Congress), Maryland",782957,23850,759107
5001800US2402,"Congressional District 2 (118th Congress), Maryland",767891,37079,730812
5001800US2403,"Congressional District 3 (118th Congress), Maryland",778152,47219,730933
5001800US2404,"Congressional District 4 (118th Congress), Maryland",723299,124812,598487
5001800US2405,"Congressional District 5 (118th Congress), Maryland",812172,25632,786540
5001800US2406,"Congressional District 6 (118th Congress), Maryland",799719,67867,731852
5001800US2407,"Congressional District 7 (118th Congress), Maryland",744512,35496,709016
5001800US2408,"Congressional District 8 (118th Congress), Maryland",771551,105714,665837
5001800US2501,"Congressional District 1 (118th Congress), Massachusetts",767012,24529,742483
5001800US2502,"Congressional District 2 (118th Congress), Massachusetts",798884,64736,734148
5001800US2503,"Congressional District 3 (118th Congress), Massachusetts",767022,72771,694251
5001800US2504,"Congressional District 4 (118th Congress), Massachusetts",783039,53925,729114
5001800US2505,"Congressional District 5 (118th Congress), Massachusetts",776923,101640,675283
5001800US2506,"Congressional District 6 (118th Congress), Massachusetts",785015,41978,743037
5001800US2507,"Congressional District 7 (118th Congress), Massachusetts",744098,126772,617326
5001800US2508,"Congressional District 8 (118th Congress), Massachusetts",791775,68251,723524
5001800US2509,"Congressional District 9 (118th Congress), Massachusetts",787631,35413,752218
5001800US2601,"Congressional District 1 (118th Congress), Michigan",786329,5181,781148
5001800US2602,"Congressional District 2 (118th Congress), Michigan",791423,8392,783031
5001800US2603,"Congressional District 3 (118th Congress), Michigan",771917,37089,734828
5001800US2604,"Congressional District 4 (118th Congress), Michigan",777277,24723,752554
5001800US2605,"Congressional District 5 (118th Congress), Michigan",775722,13322,762400
5001800US2606,"Congressional District 6 (118th Congress), Michigan",764009,49820,714189
5001800US2607,"Congressional District 7 (118th Congress), Michigan",781761,21946,759815
5001800US2608,"Congressional District 8 (118th Congress), Michigan",766628,7112,759516
